record_id,issuer,ticker,report_frequency,document_subtype,report_year_label,webpage_title,source_page_url,download_url,http_status,content_type,source_tier
NSE-00001,Williamson Tea Kenya PLC,WTK,Annual / full-year,Annual report,2026,Signed WTK annual report Financial statements 2026,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2026/06/Signed-WTK-annual-report-Financial-statements-2026.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00002,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2025,WTK PRESS RELEASE September 2025,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2025/11/WTK-PRESS-RELEASE-September-2025.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00003,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2025,WTK 2025 signed FS,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2025/06/WTK-2025-signed-FS-.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00004,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2024,WTK PRESS RELEASE September 2024,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/11/WTK-PRESS-RELEASE-September-2024.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00005,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2024,WTK 2024 Signed FS,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/07/WTK-2024-Signed-FS.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00006,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2023,WILLIAMSON TEA KENYA PLC VOTING RESULTS 2023,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/WILLIAMSON-TEA-KENYA-PLC-VOTING-RESULTS-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00007,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2023,Williamson signed Financial Statement 2023,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Williamson-signed-Financial-Statement-2023.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00008,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2022,WTK PRESS RELEASE September 202286,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/WTK-PRESS-RELEASE-September-202286.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00009,Williamson Tea Kenya PLC,WTK,Annual / full-year,Annual report,2022,Wtk Annual Report 2022,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Wtk-Annual-Report-2022.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00010,Williamson Tea Kenya PLC,WTK,Semi-annual / half-year,Financial results / statements,2021,WTK Half Year Results September 2021,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/WTK-Half-Year-Results-September-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00011,Williamson Tea Kenya PLC,WTK,Annual / full-year,Annual report,2021,Williamson Tea Audited Accounts for year ended 31st March 2021,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Williamson-Tea-Audited-Accounts-for-year-ended-31st-March-2021.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00012,Williamson Tea Kenya PLC,WTK,Periodic results material,Financial results / statements,2020,WILLIASMON TEA KENYA PLC UNAUDITED RESULTS FOR 6 MONTHS ENDED 30TH SEPTEMBER 2020,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/WILLIASMON-TEA-KENYA-PLC-UNAUDITED-RESULTS-FOR-6-MONTHS-ENDED-30TH-SEPTEMBER-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00013,Williamson Tea Kenya PLC,WTK,Annual / full-year,Annual report,2020,Williamson Tea Kenya Plc Consolidated Financial Statements for the year ended 31st March 2020,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Williamson-Tea-Kenya-Plc-Consolidated-Financial-Statements-for-the-year-ended-31st-March-2020.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
NSE-00014,Williamson Tea Kenya PLC,WTK,Annual / full-year,Annual report,2019,Williamson Tea Kenya Plc accounts for the year ended 31st March 2019,https://www.williamsontea.com/investor-reports/,https://www.williamsontea.com/wp-content/uploads/2024/01/Williamson-Tea-Kenya-Plc-accounts-for-the-year-ended-31st-March-2019.pdf,linked from source page,application/pdf (inferred from URL),Issuer website
